country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Maniema,maniema,56.68288798,3.514258021,49.79506882,63.57070713,503,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Mongala,mongala,40.87786928,2.800639156,35.3887174,46.36702116,322,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Mongala,mongala,43.10301234,4.721303083,33.84942834,52.35659634,474,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Nord-Kivu,nord kivu,52.01143425,3.934429158,44.3000948,59.7227737,513,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Nord-Kivu,nord kivu,55.87250682,5.053477854,45.96787223,65.77714141,507,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Nord-Ubangi,nord ubangi,41.52565625,3.987151834,33.71098226,49.34033025,282,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Nord-Ubangi,nord ubangi,50.33094742,4.556845329,41.39969469,59.26220015,463,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Sankuru,sankuru,50.07632825,3.800825275,42.6268476,57.5258089,314,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Sankuru,sankuru,42.67676571,1.641456642,39.45956981,45.89396161,415,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Sud-Kivu,sud kivu,53.02831448,3.964639696,45.25776346,60.79886549,507,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Sud-Kivu,sud kivu,47.98986633,5.145498779,37.90487404,58.07485862,631,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Sud-Ubangi,sud ubangi,40.79534011,2.984079329,34.9466521,46.64402813,319,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Sud-Ubangi,sud ubangi,53.61955939,2.693467676,48.34045975,58.89865903,569,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Tanganyika,tanganyika,50.99396916,3.884677875,43.38014043,58.60779789,310,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Tanganyika,tanganyika,45.85825864,3.487181442,39.02350861,52.69300868,441,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Tshopo,tshopo,42.37677407,4.808637487,32.95201778,51.80153036,272,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Tshopo,tshopo,45.03775249,4.096673947,37.00841909,53.06708588,423,2,2024 DHS
DRC,2013,DHS,DRC_2013_DHS_child,children_under5,stunting,ADM1,Tshuapa,tshuapa,47.76114581,3.01065748,41.86036558,53.66192604,227,1,2013 DHS
DRC,2024,DHS,DRC_2024_DHS_child,children_under5,stunting,ADM1,Tshuapa,tshuapa,44.02110543,3.365403598,37.42503558,50.61717527,405,2,2024 DHS
