country,survey_year,survey_source,survey_label,indicator,admin_name,estimate,ci_l,ci_u
DRC,2013,DHS,2013 DHS,first_birth_under20,Sud-Kivu,63.3551566086515,56.8236988870816,69.8866143302214
DRC,2013,DHS,2013 DHS,first_birth_under20,Sud-Ubangi,62.2436927337319,59.4073256274267,65.080059840037
DRC,2013,DHS,2013 DHS,first_birth_under20,Tanganyika,69.5755195208379,63.8842723778412,75.2667666638347
DRC,2013,DHS,2013 DHS,first_birth_under20,Tshopo,64.9168287331072,58.7725524867825,71.0611049794318
DRC,2013,DHS,2013 DHS,first_birth_under20,Tshuapa,60.8933478533963,54.147573767085,67.6391219397075
DRC,2024,DHS,2024 DHS,first_birth_under20,Bas-Uele,61.6205361208251,59.0903277285174,64.1507445131328
DRC,2024,DHS,2024 DHS,first_birth_under20,Equateur,58.0827569925556,53.0970610610468,63.0684529240644
DRC,2024,DHS,2024 DHS,first_birth_under20,Haut-Katanga,59.6350635201811,55.4598361510096,63.8102908893526
DRC,2024,DHS,2024 DHS,first_birth_under20,Haut-Lomami,54.3451811747126,50.6705328759742,58.0198294734511
DRC,2024,DHS,2024 DHS,first_birth_under20,Haut-Uele,53.6147762265154,47.3570661764281,59.8724862766027
DRC,2024,DHS,2024 DHS,first_birth_under20,Ituri,64.0685116105876,60.4180708050469,67.7189524161283
DRC,2024,DHS,2024 DHS,first_birth_under20,Kasai,58.6287740528026,53.6556414891158,63.6019066164895
DRC,2024,DHS,2024 DHS,first_birth_under20,Kasai-Central,61.8588893009207,55.5144790400252,68.2032995618162
DRC,2024,DHS,2024 DHS,first_birth_under20,Kasai-Oriental,64.3767507881355,58.8888841321249,69.8646174441462
DRC,2024,DHS,2024 DHS,first_birth_under20,Kinshasa,42.3896691097492,36.8340096368807,47.9453285826176
DRC,2024,DHS,2024 DHS,first_birth_under20,Kongo Central,49.3835856810608,43.334273264901,55.4328980972206
DRC,2024,DHS,2024 DHS,first_birth_under20,Kwango,45.8972666174339,41.9446235922699,49.8499096425979
DRC,2024,DHS,2024 DHS,first_birth_under20,Kwilu,47.2951655890142,42.06663974054,52.5236914374884
DRC,2024,DHS,2024 DHS,first_birth_under20,Lomami,51.0833691727536,45.2320052018213,56.934733143686
DRC,2024,DHS,2024 DHS,first_birth_under20,Lualaba,64.704040100239,56.3881677901691,73.0199124103088
DRC,2024,DHS,2024 DHS,first_birth_under20,Mai-Ndombe,53.2142247935571,45.9727575875081,60.455691999606
DRC,2024,DHS,2024 DHS,first_birth_under20,Maniema,68.597021667105,64.2260296737225,72.9680136604874
DRC,2024,DHS,2024 DHS,first_birth_under20,Mongala,70.6792096108695,63.4967525997247,77.8616666220143
DRC,2024,DHS,2024 DHS,first_birth_under20,Nord-Kivu,56.9217116863746,50.5572016607308,63.2862217120184
DRC,2024,DHS,2024 DHS,first_birth_under20,Nord-Ubangi,52.7301923677126,47.3445899925728,58.1157947428524
DRC,2024,DHS,2024 DHS,first_birth_under20,Sankuru,55.9617678435595,45.9486544905473,65.9748811965718
DRC,2024,DHS,2024 DHS,first_birth_under20,Sud-Kivu,61.5211408670305,51.2582466141038,71.7840351199571
DRC,2024,DHS,2024 DHS,first_birth_under20,Sud-Ubangi,62.291595575014,56.9023738567403,67.6808172932878
DRC,2024,DHS,2024 DHS,first_birth_under20,Tanganyika,60.9431440528517,52.8246585082702,69.0616295974332
DRC,2024,DHS,2024 DHS,first_birth_under20,Tshopo,64.7343138562536,56.9191458666553,72.5494818458518
DRC,2024,DHS,2024 DHS,first_birth_under20,Tshuapa,59.5518061798434,54.8160121976747,64.2876001620121
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Bas-Uele,73.0896211869402,65.4669936503315,80.7122487235489
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Equateur,26.3995254374865,10.3917889118967,42.4072619630763
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Haut-Katanga,23.3145510757025,9.44384881027949,37.1852533411255
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Haut-Lomami,43.2975423623611,29.7723147582788,56.8227699664434
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Haut-Uele,66.4513328435329,52.1111988574354,80.7914668296304
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Ituri,44.0512277766634,25.322533938951,62.7799216143758
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kasai,40.3079316645767,27.0350490148554,53.580814314298
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kasai-Central,47.6862677990864,34.7516119267177,60.6209236714552
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kasai-Oriental,37.2212672594795,24.6276462287686,49.8148882901904
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kinshasa,17.0944123906324,11.3891601257155,22.7996646555492
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kongo Central,47.104127567885,32.1534755610216,62.0547795747483
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kwango,19.3310985331302,10.2232286560894,28.4389684101711
DRC,2013,DHS,2013 DHS,malaria_rdt_positive,Kwilu,14.4394735377209,6.35204255262427,22.5269045228176
