country,population,indicator,direction,admin_level,admin_name,n_surveys,years_available,latest_year,baseline_target_year,baseline_year,baseline_year_gap,baseline_estimate,observed_latest_estimate,pp_change_10yr,recoded_baseline_estimate,recoded_observed_latest,pp_change_10yr_recoded,change_rank,prevalence_rank
DRC,women_15_49,anemia_women,adverse,ADM1,Kongo Central,2,2013;2024,2024,2014,2013,1,54.71769659,53.86678421,-0.85091238,54.71769659,53.86678421,-0.85091238,9,26
DRC,women_15_49,anemia_women,adverse,ADM1,Nord-Kivu,2,2013;2024,2024,2014,2013,1,20.68430468,20.05860565,-0.62569903,20.68430468,20.05860565,-0.62569903,10,2
DRC,women_15_49,anemia_women,adverse,ADM1,Kasai-Oriental,2,2013;2024,2024,2014,2013,1,38.25099538,38.29265923,0.04166385,38.25099538,38.29265923,0.04166385,11,9
DRC,women_15_49,anemia_women,adverse,ADM1,Maniema,2,2013;2024,2024,2014,2013,1,49.51299106,50.37001028,0.85701922,49.51299106,50.37001028,0.85701922,12,21
DRC,women_15_49,anemia_women,adverse,ADM1,Equateur,2,2013;2024,2024,2014,2013,1,44.64411038,46.13368683,1.48957645,44.64411038,46.13368683,1.48957645,13,17
DRC,women_15_49,anemia_women,adverse,ADM1,Bas-Uele,2,2013;2024,2024,2014,2013,1,48.85419643,52.19790521,3.34370878,48.85419643,52.19790521,3.34370878,14,24
DRC,women_15_49,anemia_women,adverse,ADM1,Nord-Ubangi,2,2013;2024,2024,2014,2013,1,27.01382202,30.64932186,3.63549984,27.01382202,30.64932186,3.63549984,15,4
DRC,women_15_49,anemia_women,adverse,ADM1,Haut-Lomami,2,2013;2024,2024,2014,2013,1,46.01571189,50.62036479,4.6046529,46.01571189,50.62036479,4.6046529,16,22
DRC,women_15_49,anemia_women,adverse,ADM1,Kinshasa,2,2013;2024,2024,2014,2013,1,46.67994828,51.37402788,4.6940796,46.67994828,51.37402788,4.6940796,17,23
DRC,women_15_49,anemia_women,adverse,ADM1,Sankuru,2,2013;2024,2024,2014,2013,1,37.99070554,43.22528283,5.23457729,37.99070554,43.22528283,5.23457729,18,13
DRC,women_15_49,anemia_women,adverse,ADM1,Haut-Katanga,2,2013;2024,2024,2014,2013,1,41.7312191,47.73422063,6.00300153,41.7312191,47.73422063,6.00300153,19,20
DRC,women_15_49,anemia_women,adverse,ADM1,Tshopo,2,2013;2024,2024,2014,2013,1,39.64164994,46.39290663,6.75125669,39.64164994,46.39290663,6.75125669,20,18
DRC,women_15_49,anemia_women,adverse,ADM1,Tshuapa,2,2013;2024,2024,2014,2013,1,44.83669291,52.73581191,7.899119,44.83669291,52.73581191,7.899119,21,25
DRC,women_15_49,anemia_women,adverse,ADM1,Mongala,2,2013;2024,2024,2014,2013,1,35.4805968,44.25433334,8.77373654,35.4805968,44.25433334,8.77373654,22,15
DRC,women_15_49,anemia_women,adverse,ADM1,Lualaba,2,2013;2024,2024,2014,2013,1,31.3097673,41.82974505,10.51997775,31.3097673,41.82974505,10.51997775,23,12
DRC,women_15_49,anemia_women,adverse,ADM1,Sud-Kivu,2,2013;2024,2024,2014,2013,1,22.70339914,33.47917132,10.77577218,22.70339914,33.47917132,10.77577218,24,5
DRC,women_15_49,anemia_women,adverse,ADM1,Kwango,2,2013;2024,2024,2014,2013,1,28.20319784,40.80110987,12.59791203,28.20319784,40.80110987,12.59791203,25,11
DRC,women_15_49,anemia_women,adverse,ADM1,Sud-Ubangi,2,2013;2024,2024,2014,2013,1,27.24583728,43.47286191,16.22702463,27.24583728,43.47286191,16.22702463,26,14
DRC,,diarrhea_care_seeking,beneficial,ADM1,Nord-Kivu,2,2013;2024,2024,2014,2013,1,41.504396,83.455488,41.951092,58.495604,16.544512,-41.951092,1,1
DRC,,diarrhea_care_seeking,beneficial,ADM1,Sankuru,2,2013;2024,2024,2014,2013,1,38.753164,64.205612,25.452448,61.246836,35.794388,-25.452448,2,2
DRC,,diarrhea_care_seeking,beneficial,ADM1,Nord-Ubangi,2,2013;2024,2024,2014,2013,1,30.798691,51.104009,20.305318,69.201309,48.895991,-20.305318,3,8
DRC,,diarrhea_care_seeking,beneficial,ADM1,Sud-Ubangi,2,2013;2024,2024,2014,2013,1,34.756893,53.86655,19.109657,65.243107,46.13345,-19.109657,4,6
DRC,,diarrhea_care_seeking,beneficial,ADM1,Haut-Lomami,2,2013;2024,2024,2014,2013,1,37.90744,54.886096,16.978656,62.09256,45.113904,-16.978656,5,4
DRC,,diarrhea_care_seeking,beneficial,ADM1,Tshuapa,2,2013;2024,2024,2014,2013,1,27.749667,42.056831,14.307164,72.250333,57.943169,-14.307164,6,13
DRC,,diarrhea_care_seeking,beneficial,ADM1,Equateur,2,2013;2024,2024,2014,2013,1,49.252899,63.177708,13.924809,50.747101,36.822292,-13.924809,7,3
DRC,,diarrhea_care_seeking,beneficial,ADM1,Ituri,2,2013;2024,2024,2014,2013,1,28.184095,41.539313,13.355218,71.815905,58.460687,-13.355218,8,14
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kwilu,2,2013;2024,2024,2014,2013,1,25.384398,36.643747,11.259349,74.615602,63.356253,-11.259349,9,18
DRC,,diarrhea_care_seeking,beneficial,ADM1,Kasai,2,2013;2024,2024,2014,2013,1,34.042289,43.359945,9.317656,65.957711,56.640055,-9.317656,10,11
DRC,,diarrhea_care_seeking,beneficial,ADM1,Sud-Kivu,2,2013;2024,2024,2014,2013,1,46.088107,54.834524,8.746417,53.911893,45.165476,-8.746417,11,5
