country,survey_year,survey_source,survey_id,population,indicator,admin_level,admin_name,admin_norm,estimate,se,ci_l,ci_u,unweighted_n,survey_order,survey_label
DRC,2024,DHS,,,anc4plus,ADM1,Nord-Kivu,nord kivu,50.668947,4.186123,42.464298,58.873597,425,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Nord Ubangi,nord ubangi,42.813713,4.521678,33.951387,51.676039,338,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Nord Ubangi,nord ubangi,40.777702,7.316276,26.438065,55.117339,357,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Sankuru,sankuru,27.727223,8.381951,11.2989,44.155546,387,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Sankuru,sankuru,14.184444,3.601164,7.126292,21.242595,280,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Sud-Kivu,sud kivu,35.260602,3.937062,27.544103,42.977101,610,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Sud-Kivu,sud kivu,61.335376,4.700957,52.121669,70.549083,445,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Sud Ubangi,sud ubangi,54.590128,6.688781,41.480357,67.699899,354,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Sud Ubangi,sud ubangi,39.788027,3.739306,32.459123,47.116932,450,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Tanganyika,tanganyika,28.744074,5.523488,17.918237,39.569911,395,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Tanganyika,tanganyika,25.468926,3.371451,18.861004,32.076849,382,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Tshopo,tshopo,49.277575,4.855588,39.760798,58.794352,334,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Tshopo,tshopo,49.27738,6.417624,36.699069,61.855692,342,2,2023–24 DHS
DRC,2013,DHS,,,anc4plus,ADM1,Tshuapa,tshuapa,35.818544,6.665654,22.754102,48.882986,338,1,2013 DHS
DRC,2024,DHS,,,anc4plus,ADM1,Tshuapa,tshuapa,24.070656,4.118437,15.998668,32.142643,317,2,2023–24 DHS
