country,admin_name,indicator,prev,ci_l,ci_u,n_units,prov_avg,prov_min,prov_max,pos_worse
Nigeria,Borno,IMR,63.7348770454064,45.9824195691433,87.7109165702219,37,53.8400761429915,15.391029984978,92.43625761748,0.62747360928082
Nigeria,Gombe,IMR,61.8449744000402,43.8792254940425,86.5010652838484,37,53.8400761429915,15.391029984978,92.43625761748,0.602943827184766
Nigeria,Bayelsa,IMR,59.095016407002,37.6933499970873,91.4928731371735,37,53.8400761429915,15.391029984978,92.43625761748,0.567251051946886
Nigeria,Yobe,IMR,52.770319345971,35.2439637587841,78.3048911862291,37,53.8400761429915,15.391029984978,92.43625761748,0.485160346845731
Nigeria,Abia,IMR,47.7456378915221,25.2231107093418,88.5522895919249,37,53.8400761429915,15.391029984978,92.43625761748,0.419943050345342
Nigeria,Ekiti,IMR,47.2488710250048,26.866669551138,81.7941938025205,37,53.8400761429915,15.391029984978,92.43625761748,0.413495319813778
Nigeria,Rivers,IMR,47.0137946861065,29.0373599956223,75.2565074072178,37,53.8400761429915,15.391029984978,92.43625761748,0.410444172505608
Nigeria,Lagos,IMR,46.8119350689805,29.1679608833733,74.311954345143,37,53.8400761429915,15.391029984978,92.43625761748,0.407824157959233
Nigeria,Sokoto,IMR,45.8412038773501,29.0712353729237,71.5719493707979,37,53.8400761429915,15.391029984978,92.43625761748,0.395224659957089
Nigeria,Anambra,IMR,41.120819221404,25.8465881700761,64.8208450669742,37,53.8400761429915,15.391029984978,92.43625761748,0.333956950054772
Nigeria,Niger,IMR,39.1474223250042,22.9139351498484,66.1035363633984,37,53.8400761429915,15.391029984978,92.43625761748,0.308343463573654
Nigeria,Benue,IMR,35.2849802596985,19.3970747379664,63.3458112316949,37,53.8400761429915,15.391029984978,92.43625761748,0.258211324517239
Nigeria,Oyo,IMR,33.1162176356689,17.3466649965816,62.3125264356571,37,53.8400761429915,15.391029984978,92.43625761748,0.230062110209321
Nigeria,Enugu,IMR,29.4980898059473,15.6515224262218,54.9110764241151,37,53.8400761429915,15.391029984978,92.43625761748,0.183101020718097
Nigeria,Ebonyi,IMR,29.2051951233089,18.8929202124964,44.8886616370478,37,53.8400761429915,15.391029984978,92.43625761748,0.179299426620206
Nigeria,Cross River,IMR,28.0292885568187,11.9815567147112,64.1747734361913,37,53.8400761429915,15.391029984978,92.43625761748,0.164036877561372
Nigeria,Osun,IMR,27.7024133853074,11.2812670263994,66.4206207341685,37,53.8400761429915,15.391029984978,92.43625761748,0.159794237471184
Nigeria,FCT Abuja,IMR,25.2464985433706,12.2788969883473,51.1991490020374,37,53.8400761429915,15.391029984978,92.43625761748,0.127917962750427
Nigeria,Delta,IMR,24.6426857965368,12.9414482139413,46.4261794037858,37,53.8400761429915,15.391029984978,92.43625761748,0.120080842069652
Nigeria,Edo,IMR,20.8155843817986,10.4800015857674,40.9227713738131,37,53.8400761429915,15.391029984978,92.43625761748,0.0704074030736237
Nigeria,Ondo,IMR,15.8399952270093,5.43356363835361,45.2697795848428,37,53.8400761429915,15.391029984978,92.43625761748,0.00582729464014082
